Vivado Simulator 2020.2
Time resolution is 1 ps
Time: 0 | ir_out1: x | ir_out2: x
Time: 4392772000 | ir_out1: 0 | ir_out2: 0
Time: 4405924000 | ir_out1: 1 | ir_out2: 1
Time: 4419076000 | ir_out1: 0 | ir_out2: 0
Time: 4432228000 | ir_out1: 1 | ir_out2: 1
Time: 4445380000 | ir_out1: 0 | ir_out2: 0
Time: 4458532000 | ir_out1: 1 | ir_out2: 1
Time: 4471684000 | ir_out1: 0 | ir_out2: 0
Time: 4484836000 | ir_out1: 1 | ir_out2: 1
Time: 4497988000 | ir_out1: 0 | ir_out2: 0
Time: 4511140000 | ir_out1: 1 | ir_out2: 1
Time: 4524292000 | ir_out1: 0 | ir_out2: 0
Time: 4537444000 | ir_out1: 1 | ir_out2: 1
Time: 4550596000 | ir_out1: 0 | ir_out2: 0
Time: 4563748000 | ir_out1: 1 | ir_out2: 1
Time: 4576900000 | ir_out1: 0 | ir_out2: 0
Time: 4590052000 | ir_out1: 1 | ir_out2: 1
Time: 4603204000 | ir_out1: 0 | ir_out2: 0
Time: 4616356000 | ir_out1: 1 | ir_out2: 1
Time: 4629508000 | ir_out1: 0 | ir_out2: 0
Time: 4642660000 | ir_out1: 1 | ir_out2: 1
Time: 4655812000 | ir_out1: 0 | ir_out2: 0
Time: 4668964000 | ir_out1: 1 | ir_out2: 1
Time: 4682116000 | ir_out1: 0 | ir_out2: 0
Time: 4695268000 | ir_out1: 1 | ir_out2: 1
Time: 4708420000 | ir_out1: 0 | ir_out2: 0
Time: 4721572000 | ir_out1: 1 | ir_out2: 1
Time: 4734724000 | ir_out1: 0 | ir_out2: 0
Time: 4747876000 | ir_out1: 1 | ir_out2: 1
Time: 4761028000 | ir_out1: 0 | ir_out2: 0
Time: 4774180000 | ir_out1: 1 | ir_out2: 1
Time: 4787332000 | ir_out1: 0 | ir_out2: 0
Time: 4800484000 | ir_out1: 1 | ir_out2: 1
Time: 4813636000 | ir_out1: 0 | ir_out2: 0
Time: 4826788000 | ir_out1: 1 | ir_out2: 1
Time: 4839940000 | ir_out1: 0 | ir_out2: 0
Time: 4853092000 | ir_out1: 1 | ir_out2: 1
Time: 4866244000 | ir_out1: 0 | ir_out2: 0
Time: 4879396000 | ir_out1: 1 | ir_out2: 1
Time: 4892548000 | ir_out1: 0 | ir_out2: 0
Time: 4905700000 | ir_out1: 1 | ir_out2: 1
Time: 4918852000 | ir_out1: 0 | ir_out2: 0
Time: 4932004000 | ir_out1: 1 | ir_out2: 1
Time: 4945156000 | ir_out1: 0 | ir_out2: 0
Time: 4958308000 | ir_out1: 1 | ir_out2: 1
Time: 4971460000 | ir_out1: 0 | ir_out2: 0
Time: 4984612000 | ir_out1: 1 | ir_out2: 1
Time: 4997764000 | ir_out1: 0 | ir_out2: 0
Time: 5010916000 | ir_out1: 1 | ir_out2: 1
Time: 5024068000 | ir_out1: 0 | ir_out2: 0
Time: 5037220000 | ir_out1: 1 | ir_out2: 1
Time: 5050372000 | ir_out1: 0 | ir_out2: 0
Time: 5063524000 | ir_out1: 1 | ir_out2: 1
Time: 5076676000 | ir_out1: 0 | ir_out2: 0
Time: 5089828000 | ir_out1: 1 | ir_out2: 1
Time: 5102980000 | ir_out1: 0 | ir_out2: 0
Time: 5116132000 | ir_out1: 1 | ir_out2: 1
Time: 5129284000 | ir_out1: 0 | ir_out2: 0
Time: 5142436000 | ir_out1: 1 | ir_out2: 1
Time: 5155588000 | ir_out1: 0 | ir_out2: 0
Time: 5168740000 | ir_out1: 1 | ir_out2: 1
Time: 5181892000 | ir_out1: 0 | ir_out2: 0
Time: 5195044000 | ir_out1: 1 | ir_out2: 1
Time: 5208196000 | ir_out1: 0 | ir_out2: 0
Time: 5221348000 | ir_out1: 1 | ir_out2: 1
Time: 5234500000 | ir_out1: 0 | ir_out2: 0
Time: 5247652000 | ir_out1: 1 | ir_out2: 1
Time: 5260804000 | ir_out1: 0 | ir_out2: 0
Time: 5273956000 | ir_out1: 1 | ir_out2: 1
Time: 5287108000 | ir_out1: 0 | ir_out2: 0
Time: 5300260000 | ir_out1: 1 | ir_out2: 1
Time: 5313412000 | ir_out1: 0 | ir_out2: 0
Time: 5326564000 | ir_out1: 1 | ir_out2: 1
Time: 5339716000 | ir_out1: 0 | ir_out2: 0
Time: 5352868000 | ir_out1: 1 | ir_out2: 1
Time: 5366020000 | ir_out1: 0 | ir_out2: 0
Time: 5379172000 | ir_out1: 1 | ir_out2: 1
Time: 5392324000 | ir_out1: 0 | ir_out2: 0
Time: 5405476000 | ir_out1: 1 | ir_out2: 1
Time: 5418628000 | ir_out1: 0 | ir_out2: 0
Time: 5431780000 | ir_out1: 1 | ir_out2: 1
Time: 5444932000 | ir_out1: 0 | ir_out2: 0
Time: 5458084000 | ir_out1: 1 | ir_out2: 1
Time: 5471236000 | ir_out1: 0 | ir_out2: 0
Time: 5484388000 | ir_out1: 1 | ir_out2: 1
Time: 5497540000 | ir_out1: 0 | ir_out2: 0
Time: 5510692000 | ir_out1: 1 | ir_out2: 1
Time: 5523844000 | ir_out1: 0 | ir_out2: 0
Time: 5536996000 | ir_out1: 1 | ir_out2: 1
Time: 5550148000 | ir_out1: 0 | ir_out2: 0
Time: 5563300000 | ir_out1: 1 | ir_out2: 1
Time: 5576452000 | ir_out1: 0 | ir_out2: 0
Time: 5589604000 | ir_out1: 1 | ir_out2: 1
Time: 5602756000 | ir_out1: 0 | ir_out2: 0
Time: 5615908000 | ir_out1: 1 | ir_out2: 1
Time: 5629060000 | ir_out1: 0 | ir_out2: 0
Time: 5642212000 | ir_out1: 1 | ir_out2: 1
Time: 5655364000 | ir_out1: 0 | ir_out2: 0
Time: 5668516000 | ir_out1: 1 | ir_out2: 1
Time: 5681668000 | ir_out1: 0 | ir_out2: 0
Time: 5694820000 | ir_out1: 1 | ir_out2: 1
Time: 5707972000 | ir_out1: 0 | ir_out2: 0
Time: 5721124000 | ir_out1: 1 | ir_out2: 1
Time: 5734276000 | ir_out1: 0 | ir_out2: 0
Time: 5747428000 | ir_out1: 1 | ir_out2: 1
Time: 5760580000 | ir_out1: 0 | ir_out2: 0
Time: 5773732000 | ir_out1: 1 | ir_out2: 1
Time: 5786884000 | ir_out1: 0 | ir_out2: 0
Time: 5800036000 | ir_out1: 1 | ir_out2: 1
Time: 5813188000 | ir_out1: 0 | ir_out2: 0
Time: 5826340000 | ir_out1: 1 | ir_out2: 1
Time: 5839492000 | ir_out1: 0 | ir_out2: 0
Time: 5852644000 | ir_out1: 1 | ir_out2: 1
Time: 5865796000 | ir_out1: 0 | ir_out2: 0
Time: 5878948000 | ir_out1: 1 | ir_out2: 1
Time: 5892100000 | ir_out1: 0 | ir_out2: 0
Time: 5905252000 | ir_out1: 1 | ir_out2: 1
Time: 5918404000 | ir_out1: 0 | ir_out2: 0
Time: 5931556000 | ir_out1: 1 | ir_out2: 1
Time: 5944708000 | ir_out1: 0 | ir_out2: 0
Time: 5957860000 | ir_out1: 1 | ir_out2: 1
Time: 5971012000 | ir_out1: 0 | ir_out2: 0
Time: 5984164000 | ir_out1: 1 | ir_out2: 1
Time: 5997316000 | ir_out1: 0 | ir_out2: 0
Time: 6010468000 | ir_out1: 1 | ir_out2: 1
Time: 6023620000 | ir_out1: 0 | ir_out2: 0
Time: 6036772000 | ir_out1: 1 | ir_out2: 1
Time: 6049924000 | ir_out1: 0 | ir_out2: 0
Time: 6063076000 | ir_out1: 1 | ir_out2: 1
